region,province,name,tc,cres,csor,istat,area,pop,alt,isle,sea,pden,wden,urb,fee,d_fee,sample,organic,paper,glass,wood,metal,plastic,raee,texile,other,msw_so,msw_un,msw,sor,geo,roads,s_wteregio,s_landfill,gdp,proads,wage,finance
Emilia_Romagna,Ferrara,Comacchio,502.25,129.2700042724609,66.41999816894531,38006,283.75,22648,1,0,1,79.81674194335938,119671.4765625,2,PAYT,1,1,,4.363508425607245,3.592507782171697,2.269844129218256,.4623170847672516,1.131815174117947,.3464698258648251,.1122426769486778,3.199499387176894,20396261,13560520,33956781,60.07,3,285,33.10504913330078,15.23353004455566,7.269942283630371,4.354817867279053,9.438692092895508,7.488040552139283
Emilia_Romagna,Ferrara,Lagosanto,228.0500030517578,49.52000045776367,44.13999938964844,38011,34.43999862670898,4952,1,0,1,143.7863006591797,70030.984375,3,PAYT,1,1,35.04090399677926,9.887817197216927,9.518352380127098,4.001796118940224,1.86096497029065,4.643622554643353,1.608504946582876,.3514289967067007,9.019775966087682,1831407,580460,2411867,75.93000000000001,3,11,33.10504913330078,15.23353004455566,7.109984397888184,6.082588195800781,9.510139465332031,7.32328392982483
Emilia_Romagna,Ferrara,Goro,268.010009765625,50.61000061035156,44.59999847412109,38025,26.6200008392334,3895,1,0,1,146.3185577392578,81116.5234375,3,PAYT,1,1,37.37701000591853,11.99107868117863,6.653014233171338,.0000131985873344,.7447245014870408,5.224834461928327,,.4493076993611884,16.04008109953032,1694922,464400,2159322,78.48999999999999,3,49,33.10504913330078,15.23353004455566,7.267855644226074,4.335555076599121,8.891355514526367,7.485891313552856
Emilia_Romagna,Ferrara,Mesola,199.0899963378906,41.11000061035156,40.43999862670898,38014,84.30000305175781,7140,1,0,1,84.69750213623047,43320.4609375,3,PAYT,1,1,45.31047409372891,9.762877832589204,7.551380577039718,.1485795808500472,.7465398291033608,5.202530727029518,,.4000640759711001,9.769175898124683,2881055,770860,3651915,78.89,3,165,33.10504913330078,15.23353004455566,7.085935592651367,3.710479259490967,9.433685302734375,7.298513660430908
Puglia,Barletta-Andria-Trani,Margherita di Savoia,233.6399993896484,58.27000045776367,25.95000076293945,110005,35.70000076293945,12193,1,0,1,341.5406188964844,201565.265625,2,STANDARD,0,0,.4284396071085121,6.601569231282345,4.334883294329533,2.296730907130191,.1031006631572511,5.12055509541571,.2751574512081914,.2873866712618888,4.052555073180764,3026700,4169180,7195880,42.06,1,60,4.046452045440674,45.41190338134766,7.247444152832031,5.274036884307861,9.125560760498047,7.464867477416992
Emilia_Romagna,Ferrara,Jolanda di Savoia,232.5099945068359,44.15999984741211,50.04999923706055,38010,108.3399963378906,3003,1,0,0,27.71829605102539,15530.9951171875,3,PAYT,1,1,38.6972046108825,6.625885222402099,7.254128660642757,.0000247826614082,.661405848470369,4.625502487775076,,.9319944753088621,20.4008848063862,1333008,349620,1682628,79.22,3,65,33.10504913330078,15.23353004455566,7.782785415649414,3.776467561721802,9.502229690551758,8.016268978118896
Emilia_Romagna,Ferrara,Tresignana,215.4700012207031,45.90999984741211,45.81999969482422,38030,43.06000137329102,7364,1,0,0,171.0171813964844,77483.25,3,PAYT,1,1,43.01515182849688,11.02987655364463,9.467007989679985,2.067240154068916,1.18557895282651,6.249406176483899,.9731961926958435,.7627016789507585,8.569131847253455,2779889,556540,3336429,83.31999999999999,,,,,,,,
Lazio,Roma,Fiumicino,229.0500030517578,50.06999969482422,135.7200012207031,58120,213.8899993896484,67626,1,0,1,316.171875,156320.578125,2,STANDARD,0,0,2.015497940656328,10.20422659689234,10.97539405079824,,.0827266661303092,,1.120330212789375,.1653935154376752,3.512760872380509,25539890,7895520,33435410,76.39,2,329,11.05105972290039,11.28596973419189,7.570812225341797,5.489088535308838,9.470534324645996,7.797936592102051
Veneto,Venezia,Caorle,560.780029296875,200.2200012207031,198.4799957275391,27005,153.8300018310547,11793,1,0,1,76.66255187988281,98651.640625,2,STANDARD,0,1,,9.407579887216187,10.69114845150585,1.757019928461393,1.613262674209134,4.014343568503666,.621682911403332,.5436035336239493,7.469723401712041,9516062,5659520,15175582,62.71,3,77,9.898176193237305,11.29678535461426,7.818569183349609,5.010459423065186,9.514799118041992,8.053126258850098
Liguria,Imperia,Riva Ligure,295.3299865722656,35.52999877929688,92.48999786376953,8050,2.069999933242798,2861,2,0,1,1382.125610351563,750622.75,2,STANDARD,0,0,41.04534142023144,9.548915586350528,9.531023839144183,3.179968451314818,1.394076029628218,6.99708905134481,.8186439728946466,1.071123556673397,7.294619797153926,1257309,296480,1553789,80.92,3,17,0,16.86346435546875,7.243185997009277,5.126625061035156,9.397198677062988,7.460481576919556
