variable_name,variable,value
age,4.0,0.0008461359541904272
creatinine_phosphokinase,4.0,-7.438184152763057e-05
ejection_fraction,4.0,0.00043167965787235644
platelets,4.0,0.00021446673420807283
serum_creatinine,4.0,0.0011538070802369711
serum_sodium,4.0,0.0006059885900970501
sex,4.0,-1.3736628067611068e-05
smoking,4.0,-6.124439714724002e-05
age,6.0,0.00035019472336489735
creatinine_phosphokinase,6.0,0.0018314568702776151
ejection_fraction,6.0,0.0015940823426231602
platelets,6.0,0.0015489163036932886
serum_creatinine,6.0,-0.0007755900671390357
serum_sodium,6.0,0.00038554492871307414
sex,6.0,-1.4898108549549075e-05
smoking,6.0,-0.00018125981031522076
age,7.0,-0.00021793856509901393
creatinine_phosphokinase,7.0,0.0027955745557268993
ejection_fraction,7.0,0.0030814993479018303
platelets,7.0,-0.002170965499289413
serum_creatinine,7.0,0.0015224602187146568
serum_sodium,7.0,0.0006459367908715455
sex,7.0,-7.207180563665149e-05
smoking,7.0,-0.00011730664714504
age,8.0,0.0010248771557054095
creatinine_phosphokinase,8.0,0.0034513160279434434
ejection_fraction,8.0,0.003998989878452149
platelets,8.0,-0.002294855762644439
serum_creatinine,8.0,0.00369083154207058
serum_sodium,8.0,0.002029235729775878
sex,8.0,7.823555672068102e-05
smoking,8.0,-5.552740320720947e-05
age,10.0,0.0052901658948632906
creatinine_phosphokinase,10.0,0.005013284012113777
ejection_fraction,10.0,0.007038978900233443
platelets,10.0,-0.0026950896665594282
serum_creatinine,10.0,0.005091091774705361
serum_sodium,10.0,0.0038220407040742022
sex,10.0,0.0001347848947487184
smoking,10.0,0.00036218595194799884
age,11.0,-0.009835798844802433
creatinine_phosphokinase,11.0,-0.008983456989415458
ejection_fraction,11.0,-0.01650983926704404
platelets,11.0,-0.02455544777068543
serum_creatinine,11.0,-0.011406231073820416
serum_sodium,11.0,-0.002951677992271731
sex,11.0,-0.0017958751502581203
smoking,11.0,-0.002076807879544791
age,13.0,-0.005421795805707725
creatinine_phosphokinase,13.0,-0.009325017121523924
ejection_fraction,13.0,-0.01572338799919438
platelets,13.0,-0.02697227020568997
serum_creatinine,13.0,-0.011499491782671976
serum_sodium,13.0,-0.003692628581253651
sex,13.0,-0.0020009395839985815
smoking,13.0,-0.00209260138509261
age,14.0,-0.005061182381172225
creatinine_phosphokinase,14.0,-0.009511951178534523
ejection_fraction,14.0,-0.014236411169178042
platelets,14.0,-0.028723738071104437
serum_creatinine,14.0,-0.011922481821992254
serum_sodium,14.0,-0.0027797146621112755
sex,14.0,-0.00203414752879882
smoking,14.0,-0.002181052539860808
age,15.0,-0.0040160758960747864
creatinine_phosphokinase,15.0,-0.008312421883376553
ejection_fraction,15.0,-0.014076762522166424
platelets,15.0,-0.029256849653074003
serum_creatinine,15.0,-0.00931310298233025
