variable_name,variable,value
age,4.0,0.0007437720415178357
creatinine_phosphokinase,4.0,0.00020279317641956875
ejection_fraction,4.0,0.00047820820875990936
platelets,4.0,-7.615699499134692e-05
serum_creatinine,4.0,0.001190254629195798
serum_sodium,4.0,0.000582619244999792
sex,4.0,4.246924227994176e-05
smoking,4.0,-6.124439822296503e-05
age,6.0,0.000268481554122899
creatinine_phosphokinase,6.0,0.0028064400036132684
ejection_fraction,6.0,0.0011136157979715385
platelets,6.0,0.0001817441960780371
serum_creatinine,6.0,0.0004804719109590815
serum_sodium,6.0,0.0005020599428573282
sex,6.0,6.104945251948547e-05
smoking,6.0,-0.0003322782555173556
age,7.0,9.135769423239057e-05
creatinine_phosphokinase,7.0,0.002278852039127143
ejection_fraction,7.0,0.0036252375340324657
platelets,7.0,0.0015917752708601138
serum_creatinine,7.0,0.0023447985019365955
serum_sodium,7.0,0.001176354134057801
sex,7.0,0.00013756924482078353
smoking,7.0,-0.0002967272569022591
age,8.0,0.001370222809640786
creatinine_phosphokinase,8.0,0.0018583594597722962
ejection_fraction,8.0,0.004965090525195115
platelets,8.0,0.0013020323418586458
serum_creatinine,8.0,0.005547155465462628
serum_sodium,8.0,0.0028680941288920987
sex,8.0,-0.0002604237235247793
smoking,8.0,-0.0002453995177749014
age,10.0,0.005145933479536979
creatinine_phosphokinase,10.0,0.0032160281935766093
ejection_fraction,10.0,0.009957524037763364
platelets,10.0,-0.003807773743176327
serum_creatinine,10.0,0.009196420079368451
serum_sodium,10.0,0.007764908115798044
sex,10.0,-7.91316011837114e-05
smoking,10.0,0.0002552946589733582
age,11.0,-0.0007065674871275899
creatinine_phosphokinase,11.0,0.006481280324781791
ejection_fraction,11.0,0.005810124861614088
platelets,11.0,0.00023169703888321588
serum_creatinine,11.0,0.005443814227133476
serum_sodium,11.0,0.005927690604173431
sex,11.0,0.0010744978196244232
smoking,11.0,-0.0009717448701207828
age,13.0,0.0013462375502325172
creatinine_phosphokinase,13.0,0.006731789862198313
ejection_fraction,13.0,0.006144006637946299
platelets,13.0,0.0011751339450151606
serum_creatinine,13.0,0.005267930722366796
serum_sodium,13.0,0.005776147716126167
sex,13.0,0.0011661014573448568
smoking,13.0,-0.0009814999876052166
age,14.0,0.004964056896321375
creatinine_phosphokinase,14.0,0.007153384543896372
ejection_fraction,14.0,0.007637393877476849
platelets,14.0,0.0017486749084208728
serum_creatinine,14.0,0.004272379719746569
serum_sodium,14.0,0.00649360729153916
sex,14.0,0.001230565676617468
smoking,14.0,-0.001041203686173879
age,15.0,0.007839161812639744
creatinine_phosphokinase,15.0,0.004137624459170212
ejection_fraction,15.0,0.005558446679933391
platelets,15.0,0.003113105274323016
serum_creatinine,15.0,0.004548543932378373
serum_sodium,15.0,0.007852561107412797
sex,15.0,-0.0003523251189051272
smoking,15.0,-0.0011968524403237098
age,20.0,0.013017324778122912
creatinine_phosphokinase,20.0,-0.0035880572222500894
ejection_fraction,20.0,-0.009238710420216794
platelets,20.0,0.0004955795981997479
serum_creatinine,20.0,0.0036646409741677567
serum_sodium,20.0,0.006414389643401
sex,20.0,-0.0035073137143710464
smoking,20.0,-0.001579066179335154
age,23.0,0.016108317750240922
creatinine_phosphokinase,23.0,-0.003435556969576992
ejection_fraction,23.0,-0.010399595239780367
platelets,23.0,0.001205384237965027
serum_creatinine,23.0,0.008166014434870701
serum_sodium,23.0,0.0067475381643427946
sex,23.0,-0.003747230252718053
smoking,23.0,-0.0015619575367439558
age,24.0,0.019868478223225246
creatinine_phosphokinase,24.0,-0.004043101852957435
ejection_fraction,24.0,-0.009953019321434725
platelets,24.0,0.0024100002907747136
serum_creatinine,24.0,0.007317047899676557
serum_sodium,24.0,0.0062574301760882035
sex,24.0,-0.003937796375039713
smoking,24.0,-0.0016179315000177854
age,26.0,0.023466704073173795
creatinine_phosphokinase,26.0,-0.006218694870438799
ejection_fraction,26.0,-0.011049410665238426
platelets,26.0,0.0036966495740407288
serum_creatinine,26.0,0.008790764334312863
serum_sodium,26.0,0.007213267873281276
sex,26.0,-0.0029144829470377134
smoking,26.0,-0.0011542417313672067
age,27.0,0.024788417011746475
creatinine_phosphokinase,27.0,-0.006088520687206102
ejection_fraction,27.0,-0.010776975961827246
platelets,27.0,0.0037179559737632204
serum_creatinine,27.0,0.010263197407459257
serum_sodium,27.0,0.007312445878778776
sex,27.0,-0.0028502215130413477
smoking,27.0,-0.001168177462524532
age,28.0,0.023905175892407145
creatinine_phosphokinase,28.0,-0.006329023228605998
ejection_fraction,28.0,-0.010324544685618655
platelets,28.0,0.0015787608413296037
serum_creatinine,28.0,0.010740585189657611
serum_sodium,28.0,0.011693288481929706
sex,28.0,-0.0028028880445045653
smoking,28.0,-0.0013772855864801446
age,29.0,0.024213710425732164
creatinine_phosphokinase,29.0,-0.006839711703729886
ejection_fraction,29.0,-0.007822320054373198
platelets,29.0,0.0029651451455865374
serum_creatinine,29.0,0.00984056668699084
serum_sodium,29.0,0.01152895751577908
sex,29.0,-0.002625746953785745
smoking,29.0,-0.0016030622600236577
age,30.0,0.031426393236400244
creatinine_phosphokinase,30.0,-0.006047356083346279
ejection_fraction,30.0,-0.006498387676553534
platelets,30.0,0.002468085672372038
serum_creatinine,30.0,0.014916111139147304
serum_sodium,30.0,0.012127183161364014
sex,30.0,-0.003217430339950198
smoking,30.0,-0.0017185840595194124
age,31.0,0.031590408103842574
creatinine_phosphokinase,31.0,-0.005671007475019421
ejection_fraction,31.0,-0.005254582428038729
platelets,31.0,0.0025681013336015203
serum_creatinine,31.0,0.016135127809388274
serum_sodium,31.0,0.01233733182631692
sex,31.0,-0.00315846436780335
smoking,31.0,-0.0015540313431988556
age,32.0,0.027272275244680903
creatinine_phosphokinase,32.0,-0.013285370967806643
ejection_fraction,32.0,-0.02233945875131287
platelets,32.0,0.006130927174425236
serum_creatinine,32.0,0.013381844699127487
serum_sodium,32.0,0.00980954480506752
sex,32.0,-0.008022121333993472
smoking,32.0,-0.000925689634419068
age,33.0,0.028111956268633432
creatinine_phosphokinase,33.0,-0.012322320348388004
ejection_fraction,33.0,-0.0202821444494462
platelets,33.0,0.008492192214698699
serum_creatinine,33.0,0.01327003871301398
serum_sodium,33.0,0.009790784330797307
sex,33.0,-0.008170709290234165
smoking,33.0,-0.0009270481575762574
age,35.0,0.027163080664484
creatinine_phosphokinase,35.0,-0.011967839163505316
ejection_fraction,35.0,-0.019778957781536204
platelets,35.0,0.007466180987478857
serum_creatinine,35.0,0.01742883478173667
serum_sodium,35.0,0.010122835148140908
sex,35.0,-0.008006691892920643
smoking,35.0,-0.0008204897063086893
age,38.0,0.02679302753051051
creatinine_phosphokinase,38.0,-0.00911373565841863
ejection_fraction,38.0,-0.020278153820701566
platelets,38.0,0.007063044751071744
serum_creatinine,38.0,0.016298907504206234
serum_sodium,38.0,0.011522751609043593
sex,38.0,-0.00728491345713377
smoking,38.0,-0.0010295366850438664
age,40.0,0.027234242877880097
creatinine_phosphokinase,40.0,-0.00801194359235741
ejection_fraction,40.0,-0.020355484043828292
platelets,40.0,-0.0026775082626668933
serum_creatinine,40.0,0.016663953281104864
serum_sodium,40.0,0.009282962062538076
sex,40.0,-0.0070985190534999885
smoking,40.0,-0.0009463492529131218
age,41.0,0.028191077427967347
creatinine_phosphokinase,41.0,-0.007915125805886554
ejection_fraction,41.0,-0.019994421519997464
platelets,41.0,-0.0023816027846534147
serum_creatinine,41.0,0.017502661335425777
serum_sodium,41.0,0.009609513883090752
sex,41.0,-0.0070540811412753476
smoking,41.0,-0.0009665890140617729
age,42.0,0.026581440332409677
creatinine_phosphokinase,42.0,-0.019918114743980052
ejection_fraction,42.0,-0.05461957250626173
platelets,42.0,-0.019518663155278622
serum_creatinine,42.0,0.007403483752215759
serum_sodium,42.0,0.005207297141618602
sex,42.0,-0.012317751814152617
smoking,42.0,-0.002982118419703141
age,43.0,0.028195309455312973
creatinine_phosphokinase,43.0,-0.021078567038979323
ejection_fraction,43.0,-0.054278861135714736
platelets,43.0,-0.024355862469081082
serum_creatinine,43.0,0.00854414430286128
serum_sodium,43.0,0.003366161229694603
sex,43.0,-0.012851011253148182
smoking,43.0,-0.0031995459682430394
age,44.0,0.03031443371290104
creatinine_phosphokinase,44.0,-0.025022993305986552
ejection_fraction,44.0,-0.052058409749537154
platelets,44.0,-0.028888613137796934
serum_creatinine,44.0,0.006471242835488365
serum_sodium,44.0,0.006417336485011124
sex,44.0,-0.013050465338409546
smoking,44.0,-0.003356998814591207
age,45.0,0.030074456323910405
creatinine_phosphokinase,45.0,-0.02500129470500753
ejection_fraction,45.0,-0.05166539675805511
platelets,45.0,-0.028734536150405086
serum_creatinine,45.0,0.00893737955490227
serum_sodium,45.0,0.007276400820094926
sex,45.0,-0.013451071377043017
smoking,45.0,-0.0032712636984052468
age,50.0,0.03238740265381911
creatinine_phosphokinase,50.0,-0.024682693618896172
ejection_fraction,50.0,-0.053258683459686054
platelets,50.0,-0.030647482762444382
serum_creatinine,50.0,0.01113622295425288
serum_sodium,50.0,0.008516103805360109
sex,50.0,-0.013257719930925954
smoking,50.0,-0.0034091851460620257
age,55.0,0.029882676402957893
creatinine_phosphokinase,55.0,-0.022365297375376906
ejection_fraction,55.0,-0.05198453105154678
platelets,55.0,-0.03175730738216342
serum_creatinine,55.0,0.010617221426702675
serum_sodium,55.0,0.007544432205386192
sex,55.0,-0.013122162229322281
smoking,55.0,-0.002823236102875928
age,59.0,0.030716903433922783
creatinine_phosphokinase,59.0,-0.021803985802802663
ejection_fraction,59.0,-0.05063433452964125
platelets,59.0,-0.03144196632930643
serum_creatinine,59.0,0.010570100958160572
serum_sodium,59.0,0.007319497871030762
sex,59.0,-0.01309069195191433
smoking,59.0,-0.0025329417690895008
age,60.0,0.027405207624849066
creatinine_phosphokinase,60.0,-0.017175969321582215
ejection_fraction,60.0,-0.053240079531326825
platelets,60.0,-0.0364815955390428
serum_creatinine,60.0,0.010651720980821604
serum_sodium,60.0,0.008219585477583512
sex,60.0,-0.012388958531512763
smoking,60.0,-0.0029306534051075257
age,61.0,0.024453322796088604
creatinine_phosphokinase,61.0,-0.014892506149061471
ejection_fraction,61.0,-0.05399905012478844
platelets,61.0,-0.044441902973524676
serum_creatinine,61.0,0.007510924268215205
serum_sodium,61.0,0.009411165662716612
sex,61.0,-0.012147404282693744
smoking,61.0,-0.003461518992764895
age,64.0,0.024559279945252872
